# Date, 3H, SF6
1900, nan, nan
1901, nan, nan
1902, nan, nan
1903, nan, nan
1904, nan, nan
1905, nan, nan
1906, nan, nan
1907, nan, nan
1908, nan, nan
1909, nan, nan
1910, nan, nan
1911, nan, nan
1912, nan, nan
1913, nan, nan
1914, nan, nan
1915, nan, nan
1916, nan, nan
1917, nan, nan
1918, nan, nan
1919, nan, nan
1920, nan, nan
1921, nan, nan
1922, nan, nan
1923, nan, nan
1924, nan, nan
1925, nan, nan
1926, nan, nan
1927, nan, nan
1928, nan, nan
1929, nan, nan
1930, nan, nan
1931, nan, nan
1932, nan, nan
1933, nan, nan
1934, nan, nan
1935, nan, nan
1936, nan, nan
1937, nan, nan
1938, nan, nan
1939, nan, nan
1940, nan, nan
1941, nan, nan
1942, nan, nan
1943, nan, nan
1944, nan, nan
1945, nan, nan
1946, nan, nan
1947, nan, nan
1948, nan, nan
1949, nan, nan
1950, nan, nan
1951, nan, nan
1952, nan, nan
1953, nan, nan
1954, nan, nan
1955, nan, nan
1956, nan, nan
1957, nan, nan
1958, nan, nan
1959, nan, nan
1960, nan, nan
1961, nan, nan
1962, nan, nan
1963, nan, nan
1964, nan, nan
1965, nan, nan
1966, nan, nan
1967, nan, nan
1968, nan, nan
1969, nan, nan
1970, nan, nan
1971, nan, nan
1972, nan, nan
1973, nan, nan
1974, nan, nan
1975, nan, nan
1976, nan, nan
1977, nan, nan
1978, nan, nan
1979, nan, nan
1980, nan, nan
1981, nan, nan
1982, nan, nan
1983, nan, nan
1984, nan, nan
1985, nan, nan
1986, nan, nan
1987, nan, nan
1988, nan, nan
1989, nan, nan
1990, nan, nan
1991, nan, nan
1992, nan, nan
1993, nan, nan
1994, nan, nan
1995, nan, nan
1996, nan, nan
1997, nan, nan
1998, nan, nan
1999, nan, nan
2000, nan, nan
2001, nan, nan
2002, nan, nan
2003, nan, nan
2004, 4.57, 0.75
2005, nan, nan
2006, nan, nan
2007, nan, nan
2008, nan, nan
2009, nan, nan
2010, nan, nan
2011, nan, nan
2012, nan, nan
2013, nan, nan
2014, nan, nan
2015, nan, nan
2016, nan, nan
2017, nan, nan
2018, nan, nan
2019, nan, nan
2020, nan, nan
