# Date, Value
1960-01,1.025
1960-02,0.993
1960-03,1.032
1960-04,1.076
1960-05,0.988
1960-06,0.988
1960-07,1.079
1960-08,1.038
1960-09,0.977
1960-10,1.027
1960-11,0.977
1960-12,0.977
1961-01,1.012
1961-02,0.904
1961-03,0.914
1961-04,0.972
1961-05,0.949
1961-06,1.016
1961-07,0.955
1961-08,0.929
1961-09,1.073
1961-10,0.989
1961-11,1.004
1961-12,0.929
1962-01,0.973
1962-02,1.006
1962-03,0.943
1962-04,1.019
1962-05,0.970
1962-06,0.986
1962-07,0.971
1962-08,1.093
1962-09,1.000
1962-10,0.948
1962-11,1.042
1962-12,0.940
1963-01,1.012
1963-02,0.904
1963-03,0.936
1963-04,1.013
1963-05,1.040
1963-06,1.012
1963-07,0.999
1963-08,0.990
1963-09,0.932
1963-10,0.971
1963-11,0.985
1963-12,1.063
1964-01,1.029
1964-02,0.924
1964-03,1.031
1964-04,0.998
1964-05,0.985
1964-06,1.054
1964-07,1.079
1964-08,1.077
1964-09,0.990
1964-10,1.022
1964-11,1.060
1964-12,1.100
1965-01,1.029
1965-02,1.052
1965-03,1.010
1965-04,1.013
1965-05,1.131
1965-06,1.172
1965-07,1.104
1965-08,1.177
1965-09,1.154
1965-10,1.111
1965-11,1.185
1965-12,1.272
1966-01,1.198
1966-02,1.315
1966-03,1.078
1966-04,1.316
1966-05,1.294
1966-06,1.295
1966-07,1.349
1966-08,1.236
1966-09,1.388
1966-10,1.463
1966-11,1.581
1966-12,1.470
1967-01,1.485
1967-02,1.548
1967-03,1.704
1967-04,1.701
1967-05,1.673
1967-06,1.810
1967-07,1.822
1967-08,1.953
1967-09,1.846
1967-10,1.933
1967-11,1.978
1967-12,1.919
1968-01,2.156
1968-02,2.207
1968-03,2.233
1968-04,2.260
1968-05,2.175
1968-06,2.344
1968-07,2.405
1968-08,2.398
1968-09,2.528
1968-10,2.649
1968-11,2.893
1968-12,2.712
1969-01,2.767
1969-02,2.762
1969-03,2.540
1969-04,2.841
1969-05,2.885
1969-06,3.262
1969-07,2.901
1969-08,2.995
1969-09,2.963
1969-10,2.808
1969-11,3.163
1969-12,3.111
1970-01,3.119
1970-02,2.862
1970-03,3.202
1970-04,2.773
1970-05,3.055
1970-06,3.274
1970-07,2.784
1970-08,2.822
1970-09,2.890
1970-10,2.773
1970-11,2.592
1970-12,2.782
1971-01,2.587
1971-02,2.753
1971-03,2.522
1971-04,2.798
1971-05,2.448
1971-06,2.458
1971-07,2.546
1971-08,2.247
1971-09,2.367
1971-10,2.436
1971-11,2.053
1971-12,2.198
1972-01,2.152
1972-02,2.151
1972-03,1.893
1972-04,1.835
1972-05,1.963
1972-06,1.890
1972-07,1.836
1972-08,1.796
1972-09,1.660
1972-10,1.693
1972-11,1.653
1972-12,1.531
1973-01,1.692
1973-02,1.544
1973-03,1.384
1973-04,1.484
1973-05,1.335
1973-06,1.426
1973-07,1.420
1973-08,1.261
1973-09,1.351
1973-10,1.290
1973-11,1.292
1973-12,1.335
1974-01,1.185
1974-02,1.137
1974-03,1.112
1974-04,1.102
1974-05,1.130
1974-06,1.140
1974-07,1.124
1974-08,1.142
1974-09,1.088
1974-10,1.156
1974-11,1.055
1974-12,1.206
1975-01,1.088
1975-02,1.003
1975-03,0.987
1975-04,1.063
1975-05,1.022
1975-06,1.066
1975-07,1.050
1975-08,1.019
1975-09,0.976
1975-10,0.940
1975-11,0.992
1975-12,1.056
1976-01,1.022
1976-02,0.947
1976-03,1.017
1976-04,1.027
1976-05,0.962
1976-06,1.013
1976-07,1.007
1976-08,0.947
1976-09,1.021
1976-10,1.031
1976-11,1.057
1976-12,1.055
1977-01,0.933
1977-02,0.954
1977-03,1.027
1977-04,1.027
1977-05,1.027
1977-06,1.194
1977-07,1.029
1977-08,1.057
1977-09,1.048
1977-10,1.033
1977-11,0.985
1977-12,1.038
1978-01,0.962
1978-02,0.988
1978-03,0.976
1978-04,1.004
1978-05,1.116
1978-06,0.907
1978-07,1.034
1978-08,0.919
1978-09,0.976
1978-10,1.054
1978-11,1.003
1978-12,0.946
1979-01,0.964
1979-02,1.034
1979-03,0.963
1979-04,1.011
1979-05,1.002
1979-06,0.967
1979-07,1.107
1979-08,1.032
1979-09,0.899
1979-10,1.009
1979-11,0.967
1979-12,1.043
1980-01,0.960
1980-02,0.994
1980-03,1.025
1980-04,1.043
1980-05,0.940
1980-06,0.983
1980-07,0.976
1980-08,0.967
1980-09,1.088
1980-10,1.020
1980-11,0.937
1980-12,1.046
1981-01,1.106
1981-02,1.052
1981-03,0.924
1981-04,0.976
1981-05,1.063
1981-06,0.965
1981-07,1.022
1981-08,1.039
1981-09,0.954
1981-10,0.997
1981-11,0.838
1981-12,0.949
1982-01,0.987
1982-02,0.938
1982-03,1.082
1982-04,0.928
1982-05,0.978
1982-06,1.007
1982-07,1.072
1982-08,0.928
1982-09,1.058
1982-10,1.001
1982-11,0.951
1982-12,1.023
1983-01,1.010
1983-02,0.970
1983-03,1.003
1983-04,0.981
1983-05,1.006
1983-06,1.033
1983-07,1.079
1983-08,0.938
1983-09,1.107
1983-10,0.902
1983-11,0.992
1983-12,1.029
1984-01,1.014
1984-02,0.969
1984-03,0.990
1984-04,0.975
1984-05,0.971
1984-06,1.042
1984-07,1.018
1984-08,0.965
1984-09,1.045
1984-10,1.015
1984-11,1.041
1984-12,1.031
1985-01,0.959
1985-02,0.972
1985-03,1.037
1985-04,1.031
1985-05,0.999
1985-06,1.006
1985-07,1.064
1985-08,0.970
1985-09,1.027
1985-10,0.990
1985-11,0.989
1985-12,1.055
1986-01,1.041
1986-02,1.041
1986-03,1.065
1986-04,1.001
1986-05,1.034
1986-06,0.984
1986-07,1.016
1986-08,0.993
1986-09,1.005
1986-10,1.030
1986-11,0.959
1986-12,1.105
1987-01,0.950
1987-02,0.939
1987-03,1.058
1987-04,1.040
1987-05,1.031
1987-06,1.031
1987-07,0.999
1987-08,0.955
1987-09,1.004
1987-10,0.966
1987-11,1.049
1987-12,0.993
1988-01,0.959
1988-02,0.984
1988-03,1.021
1988-04,0.972
1988-05,0.959
1988-06,1.012
1988-07,1.012
1988-08,0.975
1988-09,0.976
1988-10,1.012
1988-11,0.928
1988-12,0.930
1989-01,0.964
1989-02,0.989
1989-03,1.016
1989-04,1.074
1989-05,1.043
1989-06,0.992
1989-07,0.999
1989-08,0.950
1989-09,0.999
1989-10,0.986
1989-11,1.016
1989-12,0.959
1990-01,1.026
1990-02,1.077
1990-03,0.995
1990-04,1.020
1990-05,1.035
1990-06,0.980
1990-07,1.011
1990-08,1.001
1990-09,1.005
1990-10,0.961
1990-11,1.001
1990-12,1.025
1991-01,1.073
1991-02,1.048
1991-03,1.108
1991-04,0.962
1991-05,1.044
1991-06,1.009
1991-07,1.109
1991-08,0.960
1991-09,0.958
1991-10,0.970
1991-11,0.894
1991-12,0.974
1992-01,0.962
1992-02,1.008
1992-03,1.017
1992-04,1.094
1992-05,1.048
1992-06,0.971
1992-07,0.955
1992-08,1.025
1992-09,0.934
1992-10,1.092
1992-11,1.059
1992-12,0.977
1993-01,0.914
1993-02,1.068
1993-03,0.994
1993-04,1.062
1993-05,0.920
1993-06,0.970
1993-07,1.000
1993-08,1.002
1993-09,0.977
1993-10,1.031
1993-11,0.947
1993-12,0.993
1994-01,1.006
1994-02,1.026
1994-03,1.036
1994-04,0.944
1994-05,0.923
1994-06,1.064
1994-07,1.017
1994-08,0.963
1994-09,1.078
1994-10,1.006
1994-11,1.059
1994-12,1.003
1995-01,1.103
1995-02,1.088
1995-03,0.988
1995-04,1.049
1995-05,1.032
1995-06,1.068
1995-07,0.952
1995-08,1.034
1995-09,1.053
1995-10,0.912
1995-11,0.941
1995-12,0.898
1996-01,0.987
1996-02,1.036
1996-03,1.075
1996-04,1.004
1996-05,1.081
1996-06,0.931
1996-07,0.915
1996-08,0.997
1996-09,1.019
1996-10,0.998
1996-11,0.897
1996-12,0.996
1997-01,0.935
1997-02,1.033
1997-03,1.018
1997-04,0.953
1997-05,0.974
1997-06,0.947
1997-07,0.997
1997-08,1.048
1997-09,0.951
1997-10,1.025
1997-11,0.973
1997-12,0.960
1998-01,0.995
1998-02,0.948
1998-03,0.972
1998-04,0.940
1998-05,1.098
1998-06,1.002
1998-07,0.965
1998-08,1.011
1998-09,0.994
1998-10,0.989
1998-11,1.031
1998-12,1.038
1999-01,0.973
1999-02,0.971
1999-03,0.986
1999-04,0.885
1999-05,0.924
1999-06,1.068
1999-07,1.082
1999-08,0.988
1999-09,1.029
1999-10,1.016
1999-11,1.154
1999-12,1.056
2000-01,0.994
2000-02,0.952
2000-03,0.920
2000-04,1.010
2000-05,0.962
2000-06,0.929
2000-07,0.968
2000-08,0.946
2000-09,1.084
2000-10,1.044
2000-11,1.000
2000-12,1.074
2001-01,1.004
2001-02,0.957
2001-03,1.076
2001-04,1.027
2001-05,0.948
2001-06,0.990
2001-07,0.956
2001-08,0.931
2001-09,1.046
2001-10,1.095
2001-11,0.930
2001-12,1.028
2002-01,0.967
2002-02,0.976
2002-03,0.970
2002-04,0.957
2002-05,1.002
2002-06,0.958
2002-07,1.014
2002-08,0.997
2002-09,0.988
2002-10,0.955
2002-11,0.971
2002-12,1.038
2003-01,1.025
2003-02,0.951
2003-03,1.005
2003-04,1.038
2003-05,0.917
2003-06,1.027
2003-07,0.967
2003-08,1.029
2003-09,0.962
2003-10,0.910
2003-11,0.919
2003-12,1.002
2004-01,1.013
2004-02,0.955
2004-03,1.032
2004-04,0.917
2004-05,0.997
2004-06,0.939
2004-07,0.967
2004-08,1.002
2004-09,0.957
2004-10,0.981
2004-11,1.050
2004-12,0.971
2005-01,1.042
2005-02,0.944
2005-03,1.026
2005-04,1.072
2005-05,0.876
2005-06,0.960
2005-07,1.029
2005-08,0.990
2005-09,1.019
2005-10,0.970
2005-11,1.004
2005-12,0.992
2006-01,1.058
2006-02,1.013
2006-03,1.017
2006-04,0.979
2006-05,0.976
2006-06,0.978
2006-07,1.020
2006-08,0.979
2006-09,1.014
2006-10,1.104
2006-11,1.044
2006-12,0.984
2007-01,1.060
2007-02,0.980
2007-03,0.898
2007-04,0.950
2007-05,0.906
2007-06,0.982
2007-07,1.001
2007-08,1.084
2007-09,1.016
2007-10,0.989
2007-11,1.041
2007-12,0.889
2008-01,1.012
2008-02,1.039
2008-03,0.926
2008-04,1.057
2008-05,1.017
2008-06,0.979
2008-07,1.032
2008-08,1.114
2008-09,1.009
2008-10,1.012
2008-11,0.977
2008-12,0.958
2009-01,1.042
2009-02,0.957
2009-03,1.004
2009-04,0.976
2009-05,1.024
2009-06,1.017
2009-07,1.052
2009-08,0.974
2009-09,0.987
2009-10,0.951
2009-11,0.978
2009-12,1.019
