# Date, Tracer1, Tracer2
1900-01,1.010,0.955
1900-02,0.997,1.043
1900-03,1.013,1.137
1900-04,1.030,1.231
1900-05,0.995,1.309
1900-06,0.995,1.396
1900-07,1.032,1.496
1900-08,1.015,1.576
1900-09,0.991,1.651
1900-10,1.011,1.744
1900-11,0.991,1.819
1900-12,0.991,1.902
1901-01,1.005,1.991
1901-02,0.962,2.050
1901-03,0.966,2.133
1901-04,0.989,2.225
1901-05,0.980,2.299
1901-06,1.006,2.394
1901-07,0.982,2.457
1901-08,0.972,2.528
1901-09,1.029,2.643
1901-10,0.996,2.697
1901-11,1.001,2.777
1901-12,0.972,2.831
1902-01,0.989,2.919
1902-02,1.002,3.003
1902-03,0.977,3.057
1902-04,1.008,3.154
1902-05,0.988,3.211
1902-06,0.995,3.288
1902-07,0.988,3.355
1902-08,1.038,3.468
1902-09,1.000,3.506
1902-10,0.980,3.558
1902-11,1.018,3.661
1902-12,0.977,3.693
1903-01,1.006,3.788
1903-02,0.962,3.815
1903-03,0.975,3.894
1903-04,1.006,3.992
1903-05,1.018,4.070
1903-06,1.007,4.125
1903-07,1.001,4.185
1903-08,0.998,4.246
1903-09,0.975,4.286
1903-10,0.992,4.367
1903-11,0.998,4.437
1903-12,1.030,4.535
1904-01,1.017,4.582
1904-02,0.976,4.596
1904-03,1.020,4.708
1904-04,1.007,4.753
1904-05,1.004,4.808
1904-06,1.033,4.901
1904-07,1.045,4.972
1904-08,1.046,5.031
1904-09,1.014,5.047
1904-10,1.030,5.120
1904-11,1.049,5.197
1904-12,1.069,5.273
1905-01,1.045,5.294
1905-02,1.060,5.360
1905-03,1.049,5.393
1905-04,1.058,5.448
1905-05,1.114,5.561
1905-06,1.140,5.634
1905-07,1.125,5.651
1905-08,1.167,5.738
1905-09,1.173,5.777
1905-10,1.172,5.803
1905-11,1.223,5.888
1905-12,1.282,5.979
1906-01,1.276,5.987
1906-02,1.356,6.090
1906-03,1.286,6.018
1906-04,1.428,6.177
1906-05,1.461,6.208
1906-06,1.509,6.250
1906-07,1.589,6.316
1906-08,1.596,6.303
1906-09,1.739,6.411
1906-10,1.855,6.483
1906-11,2.005,6.571
1906-12,2.044,6.558
1907-01,2.161,6.600
1907-02,2.320,6.662
1907-03,2.552,6.760
1907-04,2.705,6.791
1907-05,2.858,6.813
1907-06,3.143,6.899
1907-07,3.364,6.935
1907-08,3.701,7.015
1907-09,3.877,7.006
1907-10,4.237,7.069
1907-11,4.596,7.116
1907-12,4.889,7.126
1908-01,5.513,7.238
1908-02,6.000,7.285
1908-03,6.506,7.324
1908-04,7.060,7.363
1908-05,7.519,7.367
1908-06,8.372,7.451
1908-07,9.150,7.501
1908-08,9.893,7.531
1908-09,10.936,7.602
1908-10,12.068,7.670
1908-11,13.551,7.774
1908-12,14.290,7.754
1909-01,15.603,7.803
1909-02,16.890,7.836
1909-03,17.715,7.809
1909-04,20.043,7.929
1909-05,21.843,7.977
1909-06,24.889,8.119
1909-07,25.674,8.057
1909-08,28.153,8.122
1909-09,30.343,8.152
1909-10,32.151,8.150
1909-11,36.481,8.289
1909-12,39.190,8.317
1910-01,42.423,8.362
1910-02,44.314,8.334
1910-03,50.107,8.475
1910-04,51.112,8.399
1910-05,57.353,8.526
1910-06,63.729,8.638
1910-07,64.398,8.544
1910-08,69.834,8.604
1910-09,76.021,8.675
1910-10,80.600,8.691
1910-11,84.586,8.687
1910-12,93.633,8.799
1911-01,97.937,8.791
1911-02,107.994,8.900
1911-03,112.167,8.879
1911-04,125.715,9.030
1911-05,127.956,8.966
1911-06,137.558,9.028
1911-07,149.711,9.120
1911-08,152.740,9.067
1911-09,167.055,9.173
1911-10,181.045,9.263
1911-11,180.990,9.168
1911-12,198.741,9.291
1912-01,210.550,9.334
1912-02,224.820,9.398
1912-03,227.920,9.342
1912-04,239.980,9.377
1912-05,262.433,9.503
1912-06,275.019,9.531
1912-07,288.945,9.567
1912-08,304.137,9.610
1912-09,312.693,9.599
1912-10,333.920,9.681
1912-11,350.190,9.722
1912-12,359.105,9.711
1913-01,395.053,9.875
1913-02,401.499,9.844
1913-03,405.067,9.799
1913-04,438.174,9.928
1913-05,441.550,9.884
1913-06,475.807,10.009
1913-07,498.059,10.064
1913-08,497.048,10.002
1913-09,534.189,10.128
1913-10,547.477,10.137
1913-11,571.260,10.194
1913-12,603.178,10.285
1914-01,597.350,10.212
1914-02,610.136,10.222
1914-03,627.267,10.250
1914-04,646.987,10.290
1914-05,675.661,10.363
1914-06,700.290,10.421
1914-07,718.148,10.452
1914-08,744.736,10.517
1914-09,750.957,10.509
1914-10,790.933,10.620
1914-11,781.895,10.564
1914-12,846.810,10.757
1915-01,829.988,10.680
1915-02,821.524,10.636
1915-03,833.205,10.658
1915-04,874.816,10.776
1915-05,876.917,10.772
1915-06,907.372,10.857
1915-07,916.240,10.878
1915-08,918.632,10.882
1915-09,915.755,10.873
1915-10,913.745,10.870
1915-11,943.726,10.962
1915-12,977.774,11.067
1916-01,973.658,11.064
1916-02,952.461,11.017
1916-03,986.566,11.128
1916-04,996.196,11.173
1916-05,975.478,11.135
1916-06,999.574,11.225
1916-07,1000.165,11.253
1916-08,977.629,11.217
1916-09,1008.163,11.334
1916-10,1011.721,11.378
1916-11,1020.641,11.440
1916-12,1017.513,11.470
1917-01,965.671,11.363
1917-02,970.036,11.420
1917-03,993.288,11.535
1917-04,986.835,11.567
1917-05,979.493,11.599
1917-06,1035.382,11.824
1917-07,963.102,11.665
1917-08,963.694,11.729
1917-09,949.305,11.750
1917-10,931.957,11.763
1917-11,901.926,11.737
1917-12,908.177,11.831
1918-01,867.238,11.772
1918-02,862.351,11.834
1918-03,843.176,11.850
1918-04,837.221,11.914
1918-05,857.679,12.077
1918-06,773.125,11.858
1918-07,796.845,12.041
1918-08,743.799,11.933
1918-09,743.675,12.031
1918-10,748.571,12.155
1918-11,715.113,12.123
1918-12,680.551,12.084
1919-01,667.023,12.135
1919-02,666.658,12.250
1919-03,629.299,12.193
1919-04,622.156,12.280
1919-05,600.843,12.299
1919-06,573.558,12.285
