# Date, Tracer1, Tracer2
1900-01,nan,nan
1900-02,nan,nan
1900-03,nan,nan
1900-04,nan,nan
1900-05,nan,nan
1900-06,nan,nan
1900-07,nan,nan
1900-08,nan,nan
1900-09,nan,nan
1900-10,nan,nan
1900-11,nan,nan
1900-12,nan,nan
1901-01,nan,nan
1901-02,nan,nan
1901-03,nan,nan
1901-04,nan,nan
1901-05,nan,nan
1901-06,nan,nan
1901-07,nan,nan
1901-08,nan,nan
1901-09,nan,nan
1901-10,nan,nan
1901-11,nan,nan
1901-12,nan,nan
1902-01,nan,nan
1902-02,nan,nan
1902-03,nan,nan
1902-04,nan,nan
1902-05,nan,nan
1902-06,nan,nan
1902-07,nan,nan
1902-08,nan,nan
1902-09,nan,nan
1902-10,nan,nan
1902-11,nan,nan
1902-12,nan,nan
1903-01,nan,nan
1903-02,nan,nan
1903-03,nan,nan
1903-04,nan,nan
1903-05,nan,nan
1903-06,nan,nan
1903-07,nan,nan
1903-08,nan,nan
1903-09,nan,nan
1903-10,nan,nan
1903-11,nan,nan
1903-12,nan,nan
1904-01,nan,nan
1904-02,nan,nan
1904-03,nan,nan
1904-04,nan,nan
1904-05,nan,nan
1904-06,nan,nan
1904-07,nan,nan
1904-08,nan,nan
1904-09,nan,nan
1904-10,nan,nan
1904-11,nan,nan
1904-12,nan,nan
1905-01,nan,nan
1905-02,nan,nan
1905-03,nan,nan
1905-04,nan,nan
1905-05,nan,nan
1905-06,nan,nan
1905-07,nan,nan
1905-08,nan,nan
1905-09,nan,nan
1905-10,nan,nan
1905-11,nan,nan
1905-12,nan,nan
1906-01,nan,nan
1906-02,nan,nan
1906-03,nan,nan
1906-04,nan,nan
1906-05,nan,nan
1906-06,nan,nan
1906-07,nan,nan
1906-08,nan,nan
1906-09,nan,nan
1906-10,nan,nan
1906-11,nan,nan
1906-12,nan,nan
1907-01,nan,nan
1907-02,nan,nan
1907-03,nan,nan
1907-04,nan,nan
1907-05,nan,nan
1907-06,nan,nan
1907-07,nan,nan
1907-08,nan,nan
1907-09,nan,nan
1907-10,nan,nan
1907-11,nan,nan
1907-12,nan,nan
1908-01,nan,nan
1908-02,nan,nan
1908-03,nan,nan
1908-04,nan,nan
1908-05,nan,nan
1908-06,nan,nan
1908-07,nan,nan
1908-08,nan,nan
1908-09,nan,nan
1908-10,nan,nan
1908-11,nan,nan
1908-12,nan,nan
1909-01,nan,nan
1909-02,nan,nan
1909-03,nan,nan
1909-04,nan,nan
1909-05,nan,nan
1909-06,nan,nan
1909-07,nan,nan
1909-08,nan,nan
1909-09,nan,nan
1909-10,nan,nan
1909-11,nan,nan
1909-12,nan,nan
1910-01,nan,nan
1910-02,nan,nan
1910-03,nan,nan
1910-04,nan,nan
1910-05,nan,nan
1910-06,nan,nan
1910-07,nan,nan
1910-08,nan,nan
1910-09,nan,nan
1910-10,nan,nan
1910-11,nan,nan
1910-12,nan,nan
1911-01,nan,nan
1911-02,nan,nan
1911-03,nan,nan
1911-04,nan,nan
1911-05,nan,nan
1911-06,nan,nan
1911-07,nan,nan
1911-08,nan,nan
1911-09,nan,nan
1911-10,nan,nan
1911-11,nan,nan
1911-12,nan,nan
