# Date, Value
1960-01,0.301
1960-02,0.301
1960-03,0.301
1960-04,0.301
1960-05,0.301
1960-06,0.301
1960-07,0.301
1960-08,0.301
1960-09,0.301
1960-10,0.301
1960-11,0.301
1960-12,0.301
1961-01,0.301
1961-02,0.301
1961-03,0.301
1961-04,0.301
1961-05,0.301
1961-06,0.301
1961-07,0.301
1961-08,0.301
1961-09,0.301
1961-10,0.301
1961-11,0.301
1961-12,0.301
1962-01,0.301
1962-02,0.301
1962-03,0.301
1962-04,0.301
1962-05,0.301
1962-06,0.301
1962-07,0.301
1962-08,0.301
1962-09,0.301
1962-10,0.301
1962-11,0.301
1962-12,0.301
1963-01,0.301
1963-02,0.301
1963-03,0.301
1963-04,0.301
1963-05,0.301
1963-06,0.301
1963-07,0.301
1963-08,0.301
1963-09,0.301
1963-10,0.301
1963-11,0.301
1963-12,0.301
1964-01,0.301
1964-02,0.301
1964-03,0.301
1964-04,0.301
1964-05,0.301
1964-06,0.301
1964-07,0.301
1964-08,0.301
1964-09,0.301
1964-10,0.301
1964-11,0.301
1964-12,0.301
1965-01,0.305
1965-02,0.300
1965-03,0.306
1965-04,0.313
1965-05,0.299
1965-06,0.299
1965-07,0.313
1965-08,0.307
1965-09,0.298
1965-10,0.305
1965-11,0.298
1965-12,0.298
1966-01,0.303
1966-02,0.287
1966-03,0.288
1966-04,0.297
1966-05,0.293
1966-06,0.303
1966-07,0.294
1966-08,0.290
1966-09,0.312
1966-10,0.299
1966-11,0.302
1966-12,0.290
1967-01,0.297
1967-02,0.302
1967-03,0.292
1967-04,0.304
1967-05,0.297
1967-06,0.299
1967-07,0.297
1967-08,0.315
1967-09,0.301
1967-10,0.293
1967-11,0.307
1967-12,0.292
1968-01,0.303
1968-02,0.287
1968-03,0.291
1968-04,0.303
1968-05,0.307
1968-06,0.303
1968-07,0.301
1968-08,0.300
1968-09,0.291
1968-10,0.297
1968-11,0.299
1968-12,0.311
1969-01,0.305
1969-02,0.290
1969-03,0.306
1969-04,0.301
1969-05,0.299
1969-06,0.309
1969-07,0.313
1969-08,0.313
1969-09,0.300
1969-10,0.304
1969-11,0.310
1969-12,0.316
1970-01,0.306
1970-02,0.309
1970-03,0.303
1970-04,0.303
1970-05,0.321
1970-06,0.327
1970-07,0.317
1970-08,0.328
1970-09,0.324
1970-10,0.318
1970-11,0.329
1970-12,0.342
1971-01,0.331
1971-02,0.349
1971-03,0.313
1971-04,0.349
1971-05,0.345
1971-06,0.346
1971-07,0.354
1971-08,0.337
1971-09,0.360
1971-10,0.371
1971-11,0.389
1971-12,0.372
1972-01,0.374
1972-02,0.384
1972-03,0.407
1972-04,0.407
1972-05,0.403
1972-06,0.423
1972-07,0.425
1972-08,0.445
1972-09,0.429
1972-10,0.442
1972-11,0.449
1972-12,0.440
1973-01,0.475
1973-02,0.483
1973-03,0.487
1973-04,0.491
1973-05,0.478
1973-06,0.504
1973-07,0.513
1973-08,0.512
1973-09,0.532
1973-10,0.550
1973-11,0.587
1973-12,0.560
1974-01,0.568
1974-02,0.567
1974-03,0.534
1974-04,0.579
1974-05,0.586
1974-06,0.643
1974-07,0.588
1974-08,0.602
1974-09,0.597
1974-10,0.574
1974-11,0.627
1974-12,0.619
1975-01,0.621
1975-02,0.582
1975-03,0.633
1975-04,0.568
1975-05,0.611
1975-06,0.644
1975-07,0.570
1975-08,0.576
1975-09,0.586
1975-10,0.568
1975-11,0.541
1975-12,0.570
1976-01,0.540
1976-02,0.565
1976-03,0.531
1976-04,0.572
1976-05,0.519
1976-06,0.521
1976-07,0.534
1976-08,0.489
1976-09,0.507
1976-10,0.517
1976-11,0.460
1976-12,0.482
1977-01,0.474
1977-02,0.474
1977-03,0.435
1977-04,0.427
1977-05,0.446
1977-06,0.435
1977-07,0.427
1977-08,0.421
1977-09,0.400
1977-10,0.405
1977-11,0.399
1977-12,0.381
1978-01,0.405
1978-02,0.383
1978-03,0.359
1978-04,0.374
1978-05,0.352
1978-06,0.365
1978-07,0.365
1978-08,0.341
1978-09,0.354
1978-10,0.345
1978-11,0.346
1978-12,0.352
1979-01,0.330
1979-02,0.323
1979-03,0.319
1979-04,0.318
1979-05,0.322
1979-06,0.324
1979-07,0.322
1979-08,0.325
1979-09,0.317
1979-10,0.328
1979-11,0.313
1979-12,0.336
1980-01,0.318
1980-02,0.306
1980-03,0.304
1980-04,0.316
1980-05,0.310
1980-06,0.318
1980-07,0.316
1980-08,0.312
1980-09,0.306
1980-10,0.301
