# Date, Value
1960-01,0.302
1960-02,0.302
1960-03,0.302
1960-04,0.302
1960-05,0.302
1960-06,0.302
1960-07,0.302
1960-08,0.302
1960-09,0.302
1960-10,0.302
1960-11,0.302
1960-12,0.302
1961-01,0.302
1961-02,0.302
1961-03,0.302
1961-04,0.302
1961-05,0.302
1961-06,0.302
1961-07,0.302
1961-08,0.302
1961-09,0.302
1961-10,0.302
1961-11,0.302
1961-12,0.302
1962-01,0.302
1962-02,0.302
1962-03,0.302
1962-04,0.302
1962-05,0.302
1962-06,0.302
1962-07,0.302
1962-08,0.302
1962-09,0.302
1962-10,0.302
1962-11,0.302
1962-12,0.302
1963-01,0.302
1963-02,0.302
1963-03,0.302
1963-04,0.302
1963-05,0.302
1963-06,0.302
1963-07,0.302
1963-08,0.302
1963-09,0.302
1963-10,0.302
1963-11,0.302
1963-12,0.302
1964-01,0.302
1964-02,0.302
1964-03,0.302
1964-04,0.302
1964-05,0.302
1964-06,0.302
1964-07,0.302
1964-08,0.302
1964-09,0.302
1964-10,0.302
1964-11,0.302
1964-12,0.302
1965-01,0.305
1965-02,0.301
1965-03,0.307
1965-04,0.313
1965-05,0.300
1965-06,0.300
1965-07,0.314
1965-08,0.307
1965-09,0.298
1965-10,0.306
1965-11,0.298
1965-12,0.298
1966-01,0.304
1966-02,0.287
1966-03,0.289
1966-04,0.297
1966-05,0.294
1966-06,0.304
1966-07,0.295
1966-08,0.291
1966-09,0.313
1966-10,0.300
1966-11,0.302
1966-12,0.291
1967-01,0.298
1967-02,0.303
1967-03,0.293
1967-04,0.305
1967-05,0.297
1967-06,0.300
1967-07,0.297
1967-08,0.316
1967-09,0.302
1967-10,0.294
1967-11,0.308
1967-12,0.293
1968-01,0.304
1968-02,0.287
1968-03,0.292
1968-04,0.304
1968-05,0.308
1968-06,0.304
1968-07,0.302
1968-08,0.300
1968-09,0.291
1968-10,0.297
1968-11,0.299
1968-12,0.311
1969-01,0.306
1969-02,0.290
1969-03,0.306
1969-04,0.301
1969-05,0.299
1969-06,0.310
1969-07,0.314
1969-08,0.313
1969-09,0.300
1969-10,0.305
1969-11,0.311
1969-12,0.317
1970-01,0.306
1970-02,0.310
1970-03,0.303
1970-04,0.304
1970-05,0.321
1970-06,0.328
1970-07,0.317
1970-08,0.328
1970-09,0.325
1970-10,0.319
1970-11,0.330
1970-12,0.343
1971-01,0.332
1971-02,0.349
1971-03,0.314
1971-04,0.349
1971-05,0.346
1971-06,0.346
1971-07,0.354
1971-08,0.337
1971-09,0.360
1971-10,0.372
1971-11,0.389
1971-12,0.373
1972-01,0.375
1972-02,0.384
1972-03,0.408
1972-04,0.407
1972-05,0.403
1972-06,0.424
1972-07,0.426
1972-08,0.445
1972-09,0.429
1972-10,0.442
1972-11,0.449
1972-12,0.440
1973-01,0.476
1973-02,0.484
1973-03,0.488
1973-04,0.492
1973-05,0.479
1973-06,0.504
1973-07,0.514
1973-08,0.513
1973-09,0.532
1973-10,0.551
1973-11,0.588
1973-12,0.560
1974-01,0.569
1974-02,0.568
1974-03,0.534
1974-04,0.580
1974-05,0.586
1974-06,0.643
1974-07,0.589
1974-08,0.603
1974-09,0.598
1974-10,0.574
1974-11,0.628
1974-12,0.620
1975-01,0.621
1975-02,0.582
1975-03,0.634
1975-04,0.569
1975-05,0.612
1975-06,0.645
1975-07,0.571
1975-08,0.576
1975-09,0.587
1975-10,0.569
1975-11,0.542
1975-12,0.570
1976-01,0.541
1976-02,0.566
1976-03,0.531
1976-04,0.573
1976-05,0.520
1976-06,0.521
1976-07,0.535
1976-08,0.489
1976-09,0.508
1976-10,0.518
1976-11,0.460
1976-12,0.482
1977-01,0.475
1977-02,0.475
1977-03,0.436
1977-04,0.427
1977-05,0.447
1977-06,0.436
1977-07,0.427
1977-08,0.421
1977-09,0.401
1977-10,0.406
1977-11,0.400
1977-12,0.381
1978-01,0.406
1978-02,0.384
1978-03,0.359
1978-04,0.375
1978-05,0.352
1978-06,0.366
1978-07,0.365
1978-08,0.341
1978-09,0.355
1978-10,0.346
1978-11,0.346
1978-12,0.353
1979-01,0.330
1979-02,0.323
1979-03,0.320
1979-04,0.318
1979-05,0.323
1979-06,0.324
1979-07,0.322
1979-08,0.325
1979-09,0.317
1979-10,0.328
1979-11,0.313
1979-12,0.336
1980-01,0.319
1980-02,0.306
1980-03,0.304
1980-04,0.316
1980-05,0.311
1980-06,0.318
1980-07,0.316
1980-08,0.312
1980-09,0.306
1980-10,0.302
1980-11,0.310
1980-12,0.321
1981-01,0.317
1981-02,0.306
1981-03,0.318
1981-04,0.320
1981-05,0.312
1981-06,0.320
1981-07,0.321
1981-08,0.313
1981-09,0.325
1981-10,0.328
1981-11,0.333
1981-12,0.335
1982-01,0.318
1982-02,0.322
1982-03,0.335
1982-04,0.337
1982-05,0.339
1982-06,0.366
1982-07,0.343
1982-08,0.349
1982-09,0.349
1982-10,0.348
1982-11,0.343
1982-12,0.353
1983-01,0.344
1983-02,0.350
1983-03,0.350
1983-04,0.356
1983-05,0.375
1983-06,0.345
1983-07,0.366
1983-08,0.351
1983-09,0.362
1983-10,0.375
1983-11,0.369
1983-12,0.363
1984-01,0.367
1984-02,0.379
1984-03,0.370
1984-04,0.379
1984-05,0.379
1984-06,0.375
1984-07,0.397
1984-08,0.387
1984-09,0.368
1984-10,0.386
1984-11,0.381
1984-12,0.394
1985-01,0.382
1985-02,0.388
1985-03,0.394
1985-04,0.397
1985-05,0.382
1985-06,0.390
1985-07,0.389
1985-08,0.388
1985-09,0.407
1985-10,0.397
1985-11,0.385
1985-12,0.401
1986-01,0.411
1986-02,0.403
1986-03,0.383
1986-04,0.391
1986-05,0.405
1986-06,0.390
1986-07,0.398
1986-08,0.401
1986-09,0.388
1986-10,0.394
1986-11,0.370
1986-12,0.386
1987-01,0.392
1987-02,0.384
1987-03,0.405
1987-04,0.382
1987-05,0.389
1987-06,0.393
1987-07,0.402
1987-08,0.380
1987-09,0.399
1987-10,0.390
1987-11,0.382
1987-12,0.392
1988-01,0.389
1988-02,0.383
1988-03,0.387
1988-04,0.383
1988-05,0.387
1988-06,0.390
1988-07,0.397
1988-08,0.375
1988-09,0.400
1988-10,0.368
1988-11,0.381
