# Date,Value
1970-01,0.012
1970-02,0.014
1970-03,0.015
1970-04,0.016
1970-05,0.018
1970-06,0.019
1970-07,0.021
1970-08,0.023
1970-09,0.025
1970-10,0.028
1970-11,0.030
1970-12,0.033
1971-01,0.036
1971-02,0.039
1971-03,0.042
1971-04,0.046
1971-05,0.050
1971-06,0.054
1971-07,0.059
1971-08,0.064
1971-09,0.070
1971-10,0.076
1971-11,0.082
1971-12,0.089
1972-01,0.097
1972-02,0.105
1972-03,0.113
1972-04,0.123
1972-05,0.132
1972-06,0.143
1972-07,0.155
1972-08,0.167
1972-09,0.181
1972-10,0.195
1972-11,0.211
1972-12,0.227
1973-01,0.245
1973-02,0.264
1973-03,0.283
1973-04,0.305
1973-05,0.328
1973-06,0.353
1973-07,0.379
1973-08,0.407
1973-09,0.438
1973-10,0.470
1973-11,0.505
1973-12,0.540
1974-01,0.580
1974-02,0.622
1974-03,0.663
1974-04,0.710
1974-05,0.759
1974-06,0.812
1974-07,0.867
1974-08,0.928
1974-09,0.992
1974-10,1.058
1974-11,1.130
1974-12,1.203
1975-01,1.284
1975-02,1.369
1975-03,1.451
1975-04,1.547
1975-05,1.644
1975-06,1.749
1975-07,1.858
1975-08,1.976
1975-09,2.101
1975-10,2.228
1975-11,2.367
1975-12,2.507
1976-01,2.659
1976-02,2.821
1976-03,2.980
1976-04,3.158
1976-05,3.338
1976-06,3.532
1976-07,3.730
1976-08,3.946
1976-09,4.171
1976-10,4.400
1976-11,4.646
1976-12,4.895
1977-01,5.164
1977-02,5.446
1977-03,5.713
1977-04,6.019
1977-05,6.327
1977-06,6.659
1977-07,6.994
1977-08,7.356
1977-09,7.733
1977-10,8.111
1977-11,8.518
1977-12,8.925
1978-01,9.362
1978-02,9.819
1978-03,10.246
1978-04,10.734
1978-05,11.223
1978-06,11.745
1978-07,12.269
1978-08,12.831
1978-09,13.411
1978-10,13.991
1978-11,14.609
1978-12,15.224
1979-01,15.880
1979-02,16.560
1979-03,17.192
1979-04,17.910
1979-05,18.623
1979-06,19.381
1979-07,20.135
1979-08,20.937
1979-09,21.761
1979-10,22.577
1979-11,23.441
1979-12,24.296
1980-01,25.201
1980-02,26.131
1980-03,27.020
1980-04,27.988
1980-05,28.945
1980-06,29.953
1980-07,30.948
1980-08,31.998
