# Date,Value
1970-01,nan
1970-02,nan
1970-03,nan
1970-04,nan
1970-05,nan
1970-06,nan
1970-07,nan
1970-08,nan
1970-09,nan
1970-10,nan
1970-11,nan
1970-12,nan
1971-01,nan
1971-02,nan
1971-03,nan
1971-04,nan
1971-05,nan
1971-06,nan
1971-07,nan
1971-08,nan
1971-09,nan
1971-10,nan
1971-11,nan
1971-12,nan
1972-01,nan
1972-02,nan
1972-03,nan
1972-04,nan
1972-05,nan
1972-06,nan
1972-07,nan
1972-08,nan
1972-09,nan
1972-10,nan
1972-11,nan
1972-12,nan
1973-01,nan
1973-02,nan
1973-03,nan
1973-04,nan
1973-05,nan
1973-06,nan
1973-07,nan
1973-08,nan
1973-09,nan
1973-10,nan
1973-11,nan
1973-12,nan
1974-01,nan
1974-02,nan
1974-03,nan
1974-04,nan
1974-05,nan
1974-06,nan
1974-07,nan
1974-08,nan
1974-09,nan
1974-10,nan
1974-11,nan
1974-12,0.019
1975-01,nan
1975-02,nan
1975-03,nan
1975-04,nan
1975-05,nan
1975-06,nan
1975-07,nan
1975-08,nan
1975-09,nan
1975-10,nan
1975-11,nan
1975-12,nan
1976-01,nan
1976-02,nan
1976-03,nan
1976-04,nan
1976-05,nan
1976-06,nan
1976-07,nan
1976-08,nan
1976-09,nan
1976-10,nan
1976-11,nan
1976-12,nan
1977-01,nan
1977-02,nan
1977-03,nan
1977-04,nan
1977-05,nan
1977-06,nan
1977-07,nan
1977-08,nan
1977-09,nan
1977-10,nan
1977-11,nan
1977-12,nan
1978-01,nan
1978-02,nan
1978-03,nan
1978-04,nan
1978-05,nan
1978-06,nan
1978-07,nan
1978-08,nan
1978-09,nan
1978-10,nan
1978-11,nan
1978-12,nan
1979-01,nan
1979-02,nan
1979-03,nan
1979-04,nan
1979-05,nan
1979-06,nan
1979-07,nan
1979-08,nan
1979-09,nan
1979-10,nan
1979-11,nan
1979-12,0.593
1980-01,nan
1980-02,nan
1980-03,nan
1980-04,nan
1980-05,nan
1980-06,nan
1980-07,nan
1980-08,nan
1980-09,nan
1980-10,nan
1980-11,nan
1980-12,nan
1981-01,nan
1981-02,nan
1981-03,nan
1981-04,nan
1981-05,nan
1981-06,nan
1981-07,nan
1981-08,nan
1981-09,nan
1981-10,nan
1981-11,nan
1981-12,nan
1982-01,nan
1982-02,nan
1982-03,nan
1982-04,nan
1982-05,nan
1982-06,nan
1982-07,nan
1982-08,nan
1982-09,nan
1982-10,nan
1982-11,nan
1982-12,nan
1983-01,nan
1983-02,nan
1983-03,nan
1983-04,nan
1983-05,nan
1983-06,nan
1983-07,nan
1983-08,nan
1983-09,nan
1983-10,nan
1983-11,nan
1983-12,nan
1984-01,nan
1984-02,nan
1984-03,nan
1984-04,nan
1984-05,nan
1984-06,nan
1984-07,nan
1984-08,nan
1984-09,nan
1984-10,nan
1984-11,nan
1984-12,4.197
1985-01,nan
1985-02,nan
1985-03,nan
1985-04,nan
1985-05,nan
1985-06,nan
1985-07,nan
1985-08,nan
1985-09,nan
1985-10,nan
1985-11,nan
1985-12,nan
1986-01,nan
1986-02,nan
1986-03,nan
1986-04,nan
1986-05,nan
1986-06,nan
1986-07,nan
1986-08,nan
1986-09,nan
1986-10,nan
1986-11,nan
1986-12,nan
1987-01,nan
1987-02,nan
1987-03,nan
1987-04,nan
1987-05,nan
1987-06,nan
1987-07,nan
1987-08,nan
1987-09,nan
1987-10,nan
1987-11,nan
1987-12,nan
1988-01,nan
1988-02,nan
1988-03,nan
1988-04,nan
1988-05,nan
1988-06,nan
1988-07,nan
1988-08,nan
1988-09,nan
1988-10,nan
1988-11,nan
1988-12,nan
1989-01,nan
1989-02,nan
1989-03,nan
1989-04,nan
1989-05,nan
1989-06,nan
1989-07,nan
1989-08,nan
1989-09,nan
1989-10,nan
1989-11,nan
1989-12,8.547
1990-01,nan
1990-02,nan
1990-03,nan
1990-04,nan
1990-05,nan
1990-06,nan
1990-07,nan
1990-08,nan
1990-09,nan
1990-10,nan
1990-11,nan
1990-12,nan
1991-01,nan
1991-02,nan
1991-03,nan
1991-04,nan
1991-05,nan
1991-06,nan
1991-07,nan
1991-08,nan
1991-09,nan
1991-10,nan
1991-11,nan
1991-12,nan
1992-01,nan
1992-02,nan
1992-03,nan
