Age;3H;3He(trit);3Ho;3H/3Ho;SF6
1;3,942932103;0,233460188;4,176288086;0,94412359;5,304668008
2;3,903211688;0,512449111;4,41566507;0,883946501;5,148497076
3;3,86179843;0,959914141;4,821688048;0,800922497;4,934477259
4;3,858700701;1,64913765;5,507818165;0,700586073;4,729546806
5;3,885202102;2,544493592;6,429666882;0,604261803;4,536607157
6;3,931077378;3,578190607;7,509229428;0,523499437;4,35566132
7;3,988388661;4,690572098;8,678912427;0,459549361;4,186101297
8;4,051659955;5,838150038;9,889752157;0,409682658;4,027100501
9;4,117293674;6,991486947;11,10871143;0,370636477;3,877800903
10;4,182985746;8,131409406;12,31431523;0,339684803;3,737383354
11;4,247291895;9,245806634;13,49300642;0,314777283;3,605092799
12;4,309330093;10,32730351;14,63652936;0,294422946;3,480244646
13;4,368584995;11,37167543;15,74014304;0,277544174;3,362222974
14;4,424780463;12,37677829;16,80143035;0,263357367;3,250475438
15;4,477796335;13,34183812;17,81949216;0,251286417;3,144507071
16;4,527612561;14,26697132;18,79442945;0,240901836;3,043874014
17;4,574273772;15,15287101;19,7269783;0,23187909;2,948177622
18;4,617864269;16,00058885;20,61827262;0,223969503;2,857059132
19;4,658491953;16,81139371;21,46969201;0,216979915;2,770194924
20;4,696278998;17,58666963;22,28274174;0,21075858;2,687292357
21;4,731353841;18,32785521;23,0589884;0,205184796;2,60808614
22;4,763845057;19,03640049;23,80001201;0,200161456;2,53233517
23;4,793881576;19,71373467;24,50736976;0,195609795;2,459819783
24;4,821587443;20,36124732;25,18257525;0,191465225;2,390339364
25;4,847082985;20,98028498;25,82709325;0,187674352;2,323710264
26;4,87048222;21,57213046;26,44232519;0,18419266;2,25976399
27;4,891894449;22,13801377;27,02960785;0,180982812;2,198345618
28;4,911422226;22,67910293;27,59020955;0,178013227;2,139312402
29;4,929163352;23,19650643;28,12534153;0,175257013;2,082532557
30;4,945209095;23,69127473;28,63614328;0,17269117;2,027884189
31;4,959646353;24,16440468;29,12369857;0,170295896;1,975254343
32;4,972556453;24,61683492;29,5890239;0,168054089;1,92453817
33;4,984015413;25,04945553;30,03309172;0,165950794;1,875638183
34;4,994096203;25,46310848;30,45681306;0,163973039;1,828463593
35;5,002865563;25,85859295;30,86105223;0,162109364;1,782929729
36;5,010387234;26,23666032;31,24662688;0,1603497;1,738957502
37;5,016722236;26,5980244;31,61431396;0,158685153;1,696472943
38;5,021926118;26,94336402;31,96484628;0,157107783;1,655406773
39;5,026052682;27,27331743;32,29891487;0,155610574;1,615694029
40;5,029152206;27,58849515;32,61717777;0,154187227;1,577273717
41;5,031272145;27,88947126;32,92026251;0,152832079;1,540088503
42;5,032457323;28,17679349;33,20875837;0,151540063;1,504084437
43;5,032749608;28,45098797;33,48323154;0,150306568;1,469210692
44;5,032190078;28,71254118;33,74421371;0,149127495;1,435419341
45;5,03081567;28,96193267;33,99221715;0,147999045;1,402665139
46;5,028662826;29,19960519;34,22772632;0,146917817;1,370905341
47;5,025765616;29,42598604;34,45119921;0,145880716;1,340099516
48;5,022156367;29,64148564;34,66307905;0,144884889;1,310209398
49;5,01786577;29,8464928;34,86378188;0,143927753;1,281198733
50;5,012922984;30,04137879;35,05371153;0,14300691;1,253033147
51;5,007355733;30,22649527;35,23325043;0,142120175;1,22568002
52;5,001189901;30,40218431;35,40276403;0,141265521;1,199108377
53;4,994451596;30,56876722;35,56259827;0,140441133;1,173288781
54;4,987163757;30,72655753;35,71309107;0,139645256;1,148193235
55;4,979349694;30,87585261;35,85456263;0,138876319;1,123795096
56;4,971031668;31,01693742;35,98731609;0,138132881;1,10006899
57;4,962229466;31,15008524;36,11164904;0,137413538;1,076990738
58;4,952963431;31,27555509;36,22784348;0,136717037;1,054537284
59;4,943252533;31,39360172;36,33617005;0,136042201;1,032686628
60;4,933114915;31,50446683;36,43688491;0,135387943;1,011417769
61;4,922567938;31,60837949;36,5302413;0,134753228;0,990710646
62;4,911628225;31,70556928;36,61648275;0,134753228;0,970546083
63;4,9003117;31,79624465;36,69582898;0,134753228;0,950905744
64;4,888633627;31,8806154;36,76851289;0,134753228;0,931772085
65;4,876608159;31,9588805;36,83474441;0,134753228;0,913128311
66;4,864250314;32,0312316;36,89472554;0,134753228;0,894958338
67;4,851573089;32,09785015;36,9486581;0,134753228;0,877246753
68;4,838588953;32,15891736;36,99673305;0,134753228;0,859978779
69;4,825311315;32,21460813;37,03913452;0,134753228;0,843140246
70;4,811751654;32,26508167;37,0760401;0,134753228;0,826717556
71;4,797921;32,31050106;37,10762117;0,134753228;0,810697656
72;4,78383138;32,35102065;37,13403942;0,134753228;0,79506801
73;4,769492497;32,38678628;37,15546202;0,134753228;0,779816575
74;4,754915565;32,4179485;37,17203587;0,134753228;0,764931777
75;4,740109523;32,44464329;37,18391751;0,134753228;0,750402486
76;4,725084373;32,46700204;37,19124365;0,134753228;0,736217997
77;4,709849771;32,4851582;37,19415742;0,134753228;0,722368011
78;4,694413639;32,499241;37,19279365;0,134753228;0,708842612
79;4,678784994;32,50936588;37,1872828;0,134753228;0,695632254
80;4,662972086;32,5156541;37,17775117;0,134753228;0,682727741
81;4,646983344;32,51821999;37,1643173;0,134753228;0,670120212
82;4,630825532;32,51717425;37,14710705;0,134753228;0,657801126
83;4,614506547;32,51262418;37,12623139;0,134753228;0,645762248
84;4,598033569;32,50467375;37,10180149;0,134753228;0,633995636
85;4,581413538;32,49342375;37,07392138;0,134753228;0,622493627
86;4,564653168;32,47896869;37,04270293;0,134753228;0,611248825
87;4,54775895;32,46140986;37,00824001;0,134753228;0,600254093
88;4,530737612;32,44083599;36,97063829;0,134753228;0,589502535
89;4,513594329;32,41733633;36,92998569;0,134753228;0,578987494
90;4,496335435;32,39099426;36,88637842;0,134753228;0,568702535
91;4,478966623;32,36190037;36,83990995;0,134753228;0,55864144
92;4,461493406;32,33012984;36,79066008;0,134753228;0,5487982
93;4,443921124;32,29576845;36,73872083;0,134753228;0,539167002
94;4,42625495;32,25889001;36,68416705;0,134753228;0,529742225
95;4,408499458;32,21956615;36,6270823;0,134753228;0,520518431
96;4,390660383;32,17787607;36,56754782;0,134753228;0,511490357
97;4,372741993;32,13388403;36,50563172;0,134753228;0,50265291
98;4,354748853;32,0876652;36,44141096;0,134753228;0,494001158
99;4,336685388;32,03928;36,37496042;0,134753228;0,485530327
100;4,341391874;32,02570938;36,36673113;0,134753228;0,473604419
101;4,323055134;31,97263696;36,29532396;0,134753228;0,465534356
102;4,304660359;31,91759252;36,22188676;0,134753228;0,457630873
103;4,286211917;31,86063603;36,14647982;0,134753228;0,44988978
104;4,267712807;31,80182581;36,06917252;0,134753228;0,442307015
105;4,249167574;31,74121863;35,99001814;0,134753228;0,43487864
106;4,230579009;31,67886974;35,90908275;0,134753228;0,427600835
107;4,211951024;31,61483295;35,82642003;0,134753228;0,420469896
108;4,193287427;31,54916062;35,74208219;0,134753228;0,413482229
109;4,17459071;31,48190374;35,65613068;0,134753228;0,406634346
110;4,155864483;31,41311199;35,56861122;0,134753228;0,399922863
111;4,137112258;31,34283373;35,47958243;0,134753228;0,393344493
112;4,118336261;31,27111607;35,38909086;0,134753228;0,386896048
113;4,099539825;31,19800491;35,29718185;0,134753228;0,380574429
114;4,080725802;31,12354499;35,20391;0,134753228;0,374376628
115;4,061897356;31,04778296;35,10931814;0,134753228;0,368299722
116;4,043056387;30,9707551;35,01344792;0,134753228;0,362340872
117;4,024205901;30,89250588;34,91635035;0,134753228;0,356497319
118;4,005348826;30,81307566;34,81806478;0,134753228;0,350766382
119;3,986486849;30,73250375;34,71862955;0,134753228;0,345145453
120;3,967622752;30,65082848;34,61809231;0,134753228;0,339631998
121;3,948759246;30,56808723;34,5164893;0,134753228;0,334223554
122;3,929897825;30,48431643;34,4138592;0,134753228;0,328917724
123;3,911041064;30,39955465;34,31023632;0,134753228;0,323712177
124;3,892191476;30,31383047;34,20566431;0,134753228;0,318604646
125;3,873350377;30,22718072;34,10017558;0,134753228;0,313592924
126;3,854520157;30,13963835;33,99380511;0,134753228;0,308674865
127;3,835702769;30,05123551;33,88658701;0,134753228;0,303848379
128;3,816900486;29,96200655;33,77855115;0,134753228;0,299111432
129;3,798114408;29,87197607;33,66973672;0,134753228;0,294462045
130;3,779346698;29,78117691;33,56017197;0,134753228;0,28989829
131;3,760599462;29,68963819;33,44988776;0,134753228;0,28541829
132;3,74187366;29,59739125;33,33891418;0,134753228;0,281020216
133;3,723171298;29,50445791;33,22728059;0,134753228;0,276702289
134;3,704494328;29,41086817;33,11501562;0,134753228;0,272462773
135;3,685843581;29,31665134;33,00214721;0,134753228;0,268299978
136;3,667220919;29,22182731;32,88870262;0,134753228;0,264212257
137;3,648627799;29,12642415;32,77470516;0,134753228;0,260198006
138;3,630065992;29,03046929;32,66018733;0,134753228;0,25625566
139;3,611536168;28,93398085;32,54517116;0,134753228;0,252383695
140;3,593040012;28,8369851;32,42968134;0,134753228;0,248580624
