Time,3H,3He(trit),3Ho,3H/3Ho,SF6
1950-01,1.157061076,1.842829182,2.999850302,0.385706272,0
1950-07,1.157061076,1.842829182,2.999850302,0.385706272,0
1951-01,1.157061076,1.842829182,2.999850302,0.385706272,0
1951-07,1.157061076,1.842829182,2.999850302,0.385706272,0
1952-01,1.157061076,1.842829182,2.999850302,0.385706272,0
1952-07,1.157061076,1.842829182,2.999850302,0.385706272,0
1953-01,1.157061076,1.842829182,2.999850302,0.385706272,6.89557E-16
1953-07,1.157061076,1.842829182,2.999850302,0.385706272,1.25147E-08
1954-01,1.157061076,1.842829182,2.999850302,0.385706272,1.88051E-06
1954-07,1.15706355,1.842829303,2.999852899,0.385706762,2.31523E-05
1955-01,1.15747932,1.842859034,3.000298505,0.385788054,0.000111949
1955-07,1.16944121,1.843858523,3.013261523,0.388098146,0.000328551
1956-01,1.260122633,1.853711788,3.113801374,0.404689472,0.000712167
1956-07,1.508254162,1.889421405,3.397644949,0.443911646,0.001271299
1957-01,1.899953293,1.962800338,3.862716653,0.491869703,0.001992386
1957-07,2.363179388,2.073427709,4.436556513,0.53266072,0.002851245
1958-01,2.841694487,2.214336547,5.055964855,0.562047911,0.003821245
1958-07,3.327936312,2.380424448,5.708278799,0.583001712,0.004877751
1959-01,3.834954683,2.570794465,6.405651477,0.598683006,0.0059999
1959-07,4.36769418,2.785592919,7.153173864,0.610595277,0.007170785
1960-01,4.967385252,3.028689128,7.995949332,0.62123771,0.00837698
1960-07,5.751580347,3.316731018,9.068177486,0.63425979,0.009607958
1961-01,6.872072495,3.681234799,10.55316132,0.651186151,0.010855808
1961-07,8.361937871,4.152845615,12.51460824,0.668174162,0.012115368
1962-01,10.0532535,4.734862162,14.7878918,0.679830069,0.013384349
1962-07,11.72839975,5.403352735,17.13146699,0.684611525,0.014663224
1963-01,13.24206368,6.124752247,19.36647002,0.683762382,0.015954772
1963-07,14.56820949,6.871842414,21.4396549,0.67949832,0.017263403
1964-01,15.89290516,7.64490549,23.53738249,0.675219735,0.018594655
1964-07,17.57062128,8.486686752,26.05686465,0.674318323,0.019955028
1965-01,20.153654,9.48964992,29.64286236,0.679882184,0.021352098
1965-07,24.26311498,10.80202945,35.06468555,0.691953018,0.022794822
1966-01,30.06600291,12.56094262,42.62640997,0.705337441,0.024294404
1966-07,37.19760211,14.8291848,52.02609285,0.714979736,0.025865598
1967-01,44.94700809,17.57540266,62.52149685,0.718904862,0.027526612
1967-07,52.53186067,20.69154528,73.22223396,0.717430456,0.02929697
1968-01,59.35994401,24.03391045,83.39241676,0.711814651,0.031195107
1968-07,65.12921802,27.46604393,92.59358485,0.703388017,0.033237006
1969-01,69.71958633,30.87403155,100.5917373,0.693094564,0.035437052
1969-07,73.10957866,34.16623555,107.2737645,0.681523381,0.037810685
1970-01,75.34752687,37.27208071,112.6174076,0.66905755,0.040374371
1970-07,76.54354646,40.14239003,116.6836491,0.655992053,0.043141224
1971-01,76.85727036,42.74953299,119.6044624,0.642595342,0.046117488
1971-07,76.46745543,45.08490631,121.5499935,0.629102917,0.049303072
1972-01,75.53658,47.15284727,122.6870634,0.615684962,0.052695217
1972-07,74.20169012,48.96531799,123.1646676,0.602459225,0.056293194
1973-01,72.57850938,50.53897729,123.115189,0.589517101,0.060099293
1973-07,70.75417942,51.89246682,122.6443759,0.57690521,0.064115115
1974-01,68.77918126,53.04259299,121.8195615,0.564598825,0.068340922
1974-07,66.68033927,54.0029767,120.6811581,0.552533141,0.072781395
1975-01,64.47844759,54.78495098,119.2613165,0.540648464,0.077449675
1975-07,62.20321909,55.39995284,117.601151,0.528933761,0.082365469
1976-01,59.89180762,55.8609233,115.7507801,0.517420337,0.08755338
1976-07,57.58080788,56.18207441,113.7609927,0.50615599,0.093045053
1977-01,55.3014112,56.37807294,111.6776685,0.49518773,0.098879587
1977-07,53.07156657,56.46272975,109.5325545,0.48452779,0.105099204
1978-01,50.89263374,56.44725199,107.3382006,0.474133472,0.111745229
1978-07,48.76061348,56.34036242,105.0993676,0.463947735,0.118858343
1979-01,46.68034859,56.15010913,102.8289106,0.453961326,0.12648579
1979-07,44.666648,55.88554568,100.5507172,0.444220084,0.134686885
1980-01,42.73489007,55.55646214,98.28993609,0.434783985,0.143519857
1980-07,40.89260618,55.17228336,96.06353297,0.42568293,0.153026596
1981-01,39.13300381,54.74036887,93.87207241,0.416875891,0.163236213
1981-07,37.44355784,54.26567942,91.70799317,0.408291105,0.174175707
1982-01,35.81876739,53.75234247,89.56991922,0.399897284,0.185877736
1982-07,34.26032773,53.20483402,87.46402366,0.391707656,0.1983817
1983-01,32.77381323,52.62817797,85.40090505,0.383764238,0.211728557
1983-07,31.36354481,52.02770893,83.39021011,0.376105837,0.225955525
1984-01,30.02308757,51.40756938,81.42965746,0.368699667,0.241097663
1984-07,28.74024157,50.77012509,79.50940955,0.361469689,0.257192837
