tts,weights
1.799880e+03,3.435171e-04
1.799880e+03,3.435171e-04
1.799880e+03,3.435171e-04
1.799880e+03,3.435171e-04
5.801829e+02,3.435171e-04
5.801829e+02,3.435171e-04
5.801829e+02,3.435171e-04
5.801829e+02,3.435171e-04
1.417161e+03,3.621687e-04
1.417161e+03,3.621687e-04
1.417161e+03,3.621687e-04
1.417161e+03,3.621687e-04
2.732527e+02,3.621687e-04
2.732527e+02,3.621687e-04
2.732527e+02,3.621687e-04
2.732527e+02,3.621687e-04
9.198060e+02,3.890680e-04
9.198060e+02,3.890680e-04
9.198060e+02,3.890680e-04
9.198060e+02,3.890680e-04
1.542782e+03,4.043258e-04
1.470756e+03,4.244481e-04
1.542782e+03,4.043258e-04
1.470756e+03,4.244481e-04
4.808371e+02,4.244481e-04
4.808371e+02,4.244481e-04
4.808371e+02,4.244481e-04
4.808371e+02,4.244481e-04
1.106575e+03,4.430962e-04
1.057233e+03,4.681871e-04
1.106575e+03,4.430962e-04
1.057233e+03,4.681871e-04
1.727354e+02,4.681871e-04
1.727354e+02,4.681871e-04
1.727354e+02,4.681871e-04
1.727354e+02,4.681871e-04
1.757025e+03,4.887952e-04
1.607297e+03,5.195359e-04
1.783067e+03,4.430962e-04
1.607297e+03,5.195359e-04
8.157398e+02,4.887952e-04
7.770217e+02,5.195359e-04
8.157398e+02,4.887952e-04
7.770217e+02,5.195359e-04
1.462166e+03,5.400225e-04
1.338419e+03,5.768417e-04
1.508276e+03,4.887952e-04
1.338419e+03,5.768417e-04
6.292627e+02,5.400225e-04
5.958603e+02,5.768417e-04
6.292627e+02,5.400225e-04
5.958603e+02,5.768417e-04
1.286489e+03,5.526099e-04
1.161473e+03,5.944822e-04
1.334691e+03,5.047860e-04
1.161473e+03,5.944822e-04
5.096246e+02,5.944822e-04
4.796084e+02,6.373581e-04
5.096246e+02,5.944822e-04
4.796084e+02,6.373581e-04
1.815585e+03,6.010825e-04
1.155144e+03,6.010825e-04
1.045367e+03,6.489899e-04
1.206199e+03,5.526099e-04
1.045367e+03,6.489899e-04
4.316030e+02,6.489899e-04
4.043090e+02,6.972644e-04
4.316030e+02,6.489899e-04
4.043090e+02,6.972644e-04
1.732289e+03,5.549430e-04
1.786390e+03,5.549430e-04
1.067084e+03,5.959915e-04
9.592695e+02,6.471554e-04
1.101241e+03,5.549430e-04
9.633420e+02,6.489899e-04
3.802027e+02,6.997208e-04
3.553567e+02,7.519931e-04
3.802027e+02,6.997208e-04
3.553567e+02,7.519931e-04
1.650820e+03,5.820185e-04
1.697117e+03,5.959915e-04
1.006038e+03,6.335010e-04
9.093835e+02,6.876282e-04
1.033289e+03,5.959915e-04
9.127132e+02,6.471554e-04
3.469162e+02,7.427137e-04
3.243402e+02,7.968807e-04
3.469162e+02,7.427137e-04
3.243402e+02,7.968807e-04
1.767515e+03,5.644286e-04
1.593001e+03,6.129916e-04
1.625078e+03,5.820185e-04
9.598685e+02,6.652100e-04
8.730969e+02,7.196415e-04
9.706043e+02,6.335010e-04
8.730969e+02,7.196415e-04
3.269901e+02,7.745454e-04
3.065158e+02,8.280213e-04
3.269901e+02,7.745454e-04
3.065158e+02,8.280213e-04
1.697907e+03,5.921774e-04
1.544798e+03,6.392503e-04
1.697907e+03,5.921774e-04
1.544798e+03,6.392503e-04
9.299620e+02,6.893851e-04
8.521254e+02,7.411805e-04
9.299620e+02,6.893851e-04
8.521254e+02,7.411805e-04
3.178282e+02,7.929950e-04
2.992655e+02,8.430798e-04
3.178282e+02,7.929950e-04
2.992655e+02,8.430798e-04
1.638753e+03,6.380938e-04
1.512869e+03,6.744196e-04
1.651514e+03,6.169338e-04
1.516591e+03,6.598509e-04
9.175462e+02,7.050992e-04
8.476923e+02,7.514437e-04
9.175462e+02,7.050992e-04
8.476923e+02,7.514437e-04
3.181225e+02,7.974890e-04
3.012280e+02,8.417918e-04
3.181225e+02,7.974890e-04
3.012280e+02,8.417918e-04
1.642276e+03,6.831698e-04
1.523489e+03,7.120741e-04
1.639683e+03,6.744196e-04
1.517059e+03,7.123619e-04
9.270857e+02,7.120741e-04
8.609275e+02,7.509627e-04
9.238898e+02,7.123619e-04
8.609275e+02,7.509627e-04
3.273331e+02,7.891823e-04
3.117773e+02,8.259787e-04
3.273331e+02,7.891823e-04
3.117773e+02,8.259787e-04
1.681806e+03,6.868274e-04
1.570352e+03,7.058303e-04
1.665257e+03,6.868274e-04
1.553662e+03,7.120741e-04
9.595142e+02,7.058303e-04
8.936296e+02,7.254383e-04
9.497424e+02,7.120741e-04
8.924810e+02,7.414504e-04
3.452584e+02,7.706625e-04
3.306130e+02,7.990919e-04
3.452584e+02,7.706625e-04
3.306130e+02,7.990919e-04
1.748452e+03,6.864872e-04
1.643815e+03,6.956346e-04
1.724264e+03,6.864872e-04
1.619830e+03,6.956346e-04
1.009819e+03,6.956346e-04
9.449684e+02,7.058297e-04
9.942634e+02,7.058303e-04
9.415695e+02,7.254383e-04
3.715658e+02,7.453999e-04
3.573302e+02,7.654716e-04
3.715658e+02,7.453999e-04
3.573302e+02,7.654716e-04
1.741006e+03,6.834406e-04
1.809983e+03,6.846725e-04
1.712920e+03,6.834406e-04
1.073807e+03,6.836066e-04
1.011339e+03,6.854876e-04
1.054195e+03,6.956346e-04
1.005143e+03,7.058297e-04
4.053185e+02,7.171321e-04
3.909661e+02,7.295779e-04
4.053185e+02,7.171321e-04
3.909661e+02,7.295779e-04
1.823369e+03,6.790085e-04
1.145610e+03,6.717384e-04
1.086763e+03,6.669405e-04
1.124038e+03,6.836066e-04
1.077882e+03,6.854876e-04
4.446810e+02,6.893512e-04
4.296743e+02,6.954020e-04
4.446810e+02,6.893512e-04
4.296743e+02,6.954020e-04
1.220123e+03,6.744050e-04
1.164499e+03,6.617306e-04
1.197274e+03,6.717384e-04
1.153146e+03,6.669405e-04
4.888213e+02,6.669405e-04
4.714157e+02,6.649864e-04
4.888213e+02,6.669405e-04
4.714157e+02,6.649864e-04
1.292363e+03,6.706426e-04
1.240482e+03,6.549074e-04
1.273895e+03,6.706426e-04
1.228643e+03,6.617306e-04
5.337115e+02,6.428556e-04
5.147433e+02,6.462858e-04
5.336165e+02,6.522271e-04
5.147433e+02,6.462858e-04
1.356097e+03,6.684770e-04
1.304852e+03,6.521899e-04
